pos_cc,pos_cd,pos_dt,pos_ex,pos_fw,pos_in,pos_jj,pos_jjr,pos_jjs,pos_md,pos_nn,pos_nnp,pos_nnps,pos_nns,pos_pdt,pos_prp,pos_rb,pos_rbr,pos_rbs,pos_rp,pos_sym,pos_to,pos_uh,pos_vb,pos_vbd,pos_vbg,pos_vbn,pos_vbp,pos_vbz,pos_wdt,pos_wp,pos_wrb
0,43,0,0,0,2,29,0,0,0,104,0,0,2,0,2,6,0,0,0,0,0,0,0,2,0,1,9,1,0,0,0
0,4,0,0,0,1,33,0,1,0,124,0,0,2,0,1,5,0,0,0,0,0,0,5,4,0,0,11,1,0,0,0
0,0,0,0,0,0,5,0,0,0,16,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,22,0,0,1,0,18,1,0,1,70,0,0,3,0,0,2,0,0,0,0,0,0,3,3,0,0,6,1,0,0,0
0,29,0,0,2,0,17,2,0,0,88,0,0,2,0,0,2,0,0,0,0,0,0,1,4,0,3,11,0,0,0,0
1,35,0,0,0,0,18,0,0,1,96,0,0,1,0,0,3,0,0,0,0,0,0,3,10,0,0,2,0,0,0,0
0,8,0,0,0,0,3,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,24,0,0,0,1,12,0,3,0,59,2,0,1,0,0,2,0,0,0,0,0,0,3,2,0,0,5,3,0,0,0
1,30,1,0,0,1,32,0,0,3,79,0,0,2,0,0,4,0,0,0,0,0,0,6,2,0,0,14,1,0,0,0
0,23,0,0,0,1,11,0,0,0,58,1,0,2,0,0,2,0,0,0,0,0,0,1,2,0,0,4,1,0,0,0
0,124,0,0,0,5,65,0,1,2,217,0,0,6,0,1,6,0,0,0,0,0,0,5,16,0,2,9,1,0,0,0
0,18,0,0,0,0,2,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,13,0,0,0,0,5,0,0,0,20,3,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0
0,29,0,0,1,0,10,0,0,0,50,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0
0,4,0,0,0,0,12,0,0,1,22,4,0,4,0,0,4,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0
0,1,0,0,0,0,5,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
0,11,0,0,0,0,5,0,0,0,25,0,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0,8,0,0,0,0,3,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,10,0,0,0,3,14,0,0,0,61,1,0,1,0,0,4,1,0,0,0,0,0,3,2,0,3,5,0,0,0,0
3,46,0,0,0,1,17,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,9,0,0,0,0
0,46,0,0,0,1,33,0,0,0,100,6,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,4,3,0,0,0
0,1,0,0,0,0,26,0,0,1,60,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
0,3,0,0,0,1,20,0,0,0,32,0,0,2,0,0,0,0,0,0,0,0,0,1,5,0,2,5,0,0,0,0
0,106,1,0,5,14,150,1,6,1,711,16,0,7,0,2,9,0,0,0,0,0,0,3,31,1,3,19,18,0,0,0
